Text,Language
"1  Namomotan na Teofilo: Isinaysay ko sa enot kong libro an gabos na ginibo asin itinukdo ni Jesus, poon sa kapinonan   2  sagkod na isinakat siya sa langit.",Bikol
"Bago siya isinakat sa langit, an mga apostol na saiyang pinili hinulitan niya sa paagi kan Espiritu Santo.",Bikol
"3  Nagpahiling siya sainda nin dakul na beses sa laog nin kwarentang aldaw pakatapos na siya magadan, sa mga paagi na nagpapatotoo na siya buhay.",Bikol
Sinabihan niya sinda dapit sa Kahadean nin Dios.,Bikol
"4  Kan kaiba pa siya ninda, tinugon niya sinda, “Dai kamo maghale sa Jerusalem.",Bikol
Halaton nindo an ipinanuga kan sakong Ama na sinabi ko saindo.,Bikol
"5  Si Juan nagbunyag sa tubig, alagad dai na mahahaloy bubunyagan kamo sa Espiritu Santo.”",Bikol
"6  Kan magkatiripon si Jesus asin an mga apostol, hinapot ninda siya, “Kagurangnan, ibabalik mo na ngunyan sa Israel an Kahadean?”",Bikol
"7  Nagsimbag si Jesus, “An mga aldaw asin an mga panahon itinalaan kan sakong Ama huli kan saiyang kapangyarihan; dai nasa saindo an pakaisi kaiyan.",Bikol
"8  Alagad maako kamo nin kapangyarihan pag-abot saindo kan Espiritu Santo asin kamo magigin mga saksi ko sa Jerusalem, sa bilog na Judea saka sa Samaria, sagkod sa mga poro kan kinaban.”",Bikol
"9  Pakataram niya kaini, isinakat siya sa langit mantang naghihiling sinda saiya; dangan nalipodan siya nin panganoron.",Bikol
"10  Nagtitingkalag pa sinda sa langit mantang nag-iitaas siya, kan may magtindog sa kataed ninda na duwang lalaking nakagubing nin puti,   11  na nagsabi, “Mga taga Galilea, ano ta nagtitindog kamo digdi na nakatingkalag sa langit?",Bikol
"An Jesus na ini, na kinua saindo asin isinakat sa langit, mabalik arog kan nahiling nindong pag-itaas niya.”",Bikol
"12  Nagbalik sa Jerusalem an mga apostol hale sa Bukid nin mga Oliba, na may sarong kilometro an distansya sa syudad.",Bikol
"13  Pag-abot sa harong na pinagdadagosan ninda, naglaog sinda sa kwarto sa itaas: sinda iyo si Pedro, Juan, Santiago, Andres, Felipe, Tomas, Bartolome, Mateo, si Santiago na aki ni Alfeo, si Simon na Patriota saka si Judas na aki ni Santiago.",Bikol
"14  Nagdanay sinda na sararo sa pagpamibi kaiba an mga babae, asin si Maria na ina ni Jesus, sagkod an mga tugang na lalaki ni Jesus.",Bikol
"15  Pakalihis nin nagkapirang aldaw, nagtiripon an mga syento beynteng paratubod.",Bikol
"Nagtindog si Pedro saka nagtaram,   16  ”Mga tugang, dapat maotob an nasa kasuratan na sinabi kan Espiritu Santo sa paagi ni David dapit ki Judas na iyo an giya kan mga nagdakop ki Jesus.",Bikol
17  Si Judas dating kabilang sa grupo mi asin kaiba mi sa paglingkod.”,Bikol
"18  (An bayad sa saiyang pagpasaluib ibinakal ni Judas nin oma, saen naghugot siya; puminutok an saiyang tulak asin nawawa an saiyang bituka.",Bikol
"19  Naaraman ini kan gabos na nag-eerok sa Jerusalem, kaya sa sadiri nindang tataramon, an omang idto inapod Akeldama, na an kahulogan “Oma nin Dugo.”",Bikol
")   20  ”Huli ta nasusurat sa libro kan mga Salmo, ‘Mapabayaan logod an saiyang erokan; mayo logod nin mag-erok diyan.’",Bikol
"Nasusurat pa man, ‘Kuahon logod nin iba an saiyang katongdan.’",Bikol
"21  ”Huli kaini, kaipuhan igwa nin sarong makakaayon samo bilang saksi sa pagkabuhay-liwat kan Kagurangnan na Jesus.",Bikol
Kaipuhan saro siya sa mga kairiba nyamo kan an Kagurangnan na Jesus naglilibot kaiba kami poon kan bunyagan siya ni Juan sagkod kan oras na isinakat siya sa langit.”,Bikol
"23  Nagpili sinda nin duwang lalaki: si Jose na inaapod Barsabas (inaapod man siyang Husto), saka si Matias.",Bikol
"24  Dangan namibi sinda, “Kagurangnan, aram mo an nasa puso kan gabos na tawo.",Bikol
Kaya tukdoan samo kun siisay sa duwang ini an pinili mo   25  na masalihid sa paglingkod na ini asin sa pagkaapostol na binayaan ni Judas tanganing magduman sa lugar na angay saiya.”,Bikol
26  Dangan pinagripahan ninda an duwang ngaran na pagpipilian.,Bikol
An ngaran ni Matias an napili kaya siya an idinagdag sa onseng apostol.,Bikol
"1 Kan mag-abot an aldaw nin Pentecostes, nagkatiripon sa sarong lugar an gabos na paratubod.",Bikol
2 Dangan bigla sanang nagkaigwa nin tanog na hale sa langit siring sa hagubohob nin makosog na doros; napano kaini an bilog na harong na pinagtitiponan ninda.,Bikol
3 Dangan nahiling ninda an garo mga dilang kalayo na naghugpa sa lambang saro sainda.,Bikol
"4 Sinda gabos napano kan Espiritu Santo asin nagpoon pagtaram sa manlaen-laen na lengwahe, siring sa ipinataram sainda kan Espiritu.",Bikol
5 May mga Judiong maki-Dios na hale sa manlaen-laen na nasyon na nag-eerok duman sa Jerusalem.,Bikol
"6 Kan madangog kan mga Judiong ini an tanog, nagtiripon sinda.",Bikol
Napangalas sinda kan madangog kan lambang saro sainda na sadiri niyang lengwahe an pinagtataram kan mga disipulo.,Bikol
"7 Nagngalas sinda asin nagsabi, “Bakong mga taga Galilea an gabos na nagtataram na ini?",Bikol
8 Tadaw ta nakakataram sinda kan sadiri tang mga lengwahe?,Bikol
"9 Igwa digdi nin mga taga Partia, Media asin Elam; taga Mesopotamia, Judea, saka Capadocia; taga Ponto asin Asia,  10 taga Frigia saka Pamfilia, taga Egipto saka mga taga rehiyon nin Libya harani sa Cirene.",Bikol
"An iba sato mga bisita man na taga Roma,  11 mga Judio asin mga bakong Judio na nag-ako kan Judaismo; an iba mga taga Creta asin Arabia—alagad nadangog ta gabos na nagtataram sinda sa sadiri tang mga lengwahe dapit sa darakulang mga bagay na ginibo nin Dios!”",Bikol
"12 Ngalas asin ribong na nagharapotan sinda, “Ano an kahulogan kaini?”",Bikol
"13 Alagad an iba nagtuya-tuya sa mga paratubod asin nagsabi, “Burat an mga tawong iyan!”",Bikol
"14 Dangan nagtindog si Pedro kaiba an onseng apostol, asin nagtaram nin makosog, “Mga kapwa ko Judio asin kamo na mga nag-eerok sa Jerusalem, dangoga asin sabota nindo an sasabihon ko.",Bikol
"15 Bakong burat an mga tawong ini siring sa paghona nindo, huli ta alas nwebe pa sana nin aga.",Bikol
"16 Kundi iyo ini an sinabi ni propeta Joel,  17 ‘Iyo ini an sakong gigibohon sa mga huring aldaw, an sabi nin Dios: Papahiligon ko an sakong Espiritu sa gabos na tawo.",Bikol
An saindong mga aking lalaki asin mga aking babae maghuhula; an saindong mga hoben na lalaki makakahiling nin mga bisyon; an saindong mga gurang magkakaigwa nin mga pangatorogan.,Bikol
"18 Iyo, maski an sakong mga oripon, lalaki man o babae, papahiligon ko kan sakong Espiritu sa mga aldaw na iyan, dangan maghuhula sinda.",Bikol
"19 Magpapahiling ako nin mga ngangalasan sa kalangitan, asin mga tanda sa daga: dugo, kalayo, mahibog na aso;  20 an aldaw madiklom, an bulan mapula na garo dugo, bago umabot an Aldaw nin Kagurangnan.",Bikol
"21 Dangan, an siisay man na mag-apod sa ngaran nin Kagurangnan, makakaligtas.’",Bikol
"22 ”Mga Israelita, hinanyoga nindo an mga tataramon na ini!",Bikol
Si Jesus na taga Nazaret sinugo nin Dios.,Bikol
"Pinatunayan iyan sa paagi nin mga dakulang gibo, mga milagro, saka mga tanda na ginibo nin Dios sa tahaw nindo huli saiya.",Bikol
Aram nindo ini huli ta yaon kamo kan mangyari ini.,Bikol
"23 Sa sadiring kabotan nin Dios asin pakaaram, itinao niya si Jesus saindo.",Bikol
Ipinapako nindo siya asin ipinagadan sa mga makasalan.,Bikol
24 Alagad binuhay siya liwat nin Dios.,Bikol
"Pinatalingkas siya sa kapangyarihan nin kagadanan, huli ta imposibleng masa kapangyarihan siya nin kagadanan.",Bikol
"25 Siring sa sinabi ni David dapit saiya, ‘Danay kong nahiling an Kagurangnan sa atubangan ko; nasa too ko siya tanganing dai ako matanyog.",Bikol
"26 Kaya naogma an puso ko, an sakong mga tataramon pano nin kaogmahan; asin an sakong laman mapahingalo na may paglaom;  27 huli ta an sakong kalag dai mo papabayaan sa kinaban kan mga gadan, dai mo itutugot na malapa an hawak kan Banal mong Sorogoon.",Bikol
"28 Itinukdo mo sako an dalan pasiring sa buhay, papanoon mo ako nin kaogmahan huli kan saimong presensya.",Bikol
"29 ”Mga tugang, dai manenegaran na an satong ginikanan na si David nagadan dangan ilinubong; an saiyang linubngan uya digdi sato sagkod ngunyan.",Bikol
